Record,Date,LOC Time,Temperature_Heat_Exchanger,Temperature_Dryer
1,05/08/2025,09:06:30,26,28
2,05/08/2025,09:08:30,26,28
3,05/08/2025,09:10:30,26,28
4,05/08/2025,09:12:30,26,28
5,05/08/2025,09:14:30,26,28
6,05/08/2025,09:16:30,30,29
7,05/08/2025,09:18:30,41,31
8,05/08/2025,09:20:30,51,35
9,05/08/2025,09:22:30,59,38
10,05/08/2025,09:24:30,66,42
11,05/08/2025,09:26:30,72,45
12,05/08/2025,09:28:30,76,48
13,05/08/2025,09:30:30,79,51
14,05/08/2025,09:32:30,84,54
15,05/08/2025,09:34:30,88,56
16,05/08/2025,09:36:30,91,59
17,05/08/2025,09:38:30,92,60
18,05/08/2025,09:40:30,90,62
19,05/08/2025,09:42:30,91,63
20,05/08/2025,09:44:30,91,64
21,05/08/2025,09:46:30,93,65
22,05/08/2025,09:48:30,94,66
23,05/08/2025,09:50:30,96,67
24,05/08/2025,09:52:30,97,68
25,05/08/2025,09:54:30,99,70
26,05/08/2025,09:56:30,100,71
27,05/08/2025,09:58:30,102,72
28,05/08/2025,10:00:30,102,73
29,05/08/2025,10:02:30,102,74
30,05/08/2025,10:04:30,104,75
31,05/08/2025,10:06:30,107,76
32,05/08/2025,10:08:30,109,77
33,05/08/2025,10:10:30,111,78
34,05/08/2025,10:12:30,113,79
35,05/08/2025,10:14:30,116,80
36,05/08/2025,10:16:30,118,81
37,05/08/2025,10:18:30,120,83
38,05/08/2025,10:20:30,121,84
39,05/08/2025,10:22:30,120,85
40,05/08/2025,10:24:30,120,85
41,05/08/2025,10:26:30,120,86
42,05/08/2025,10:28:30,121,87
43,05/08/2025,10:30:30,124,87
44,05/08/2025,10:32:30,127,88
45,05/08/2025,10:34:30,125,91
46,05/08/2025,10:36:30,125,91
47,05/08/2025,10:38:30,126,92
48,05/08/2025,10:40:30,128,92
49,05/08/2025,10:42:30,130,93
50,05/08/2025,10:44:30,131,94
51,05/08/2025,10:46:30,133,94
52,05/08/2025,10:48:30,134,95
53,05/08/2025,10:50:30,136,97
54,05/08/2025,10:52:30,137,98
55,05/08/2025,10:54:30,137,99
56,05/08/2025,10:56:30,137,99
57,05/08/2025,10:58:30,138,100
58,05/08/2025,11:00:30,141,100
59,05/08/2025,11:02:30,143,101
60,05/08/2025,11:04:30,145,102
61,05/08/2025,11:06:30,146,103
62,05/08/2025,11:08:30,147,104
63,05/08/2025,11:10:30,148,104
64,05/08/2025,11:12:30,149,105
65,05/08/2025,11:14:30,149,106
66,05/08/2025,11:16:30,148,106
67,05/08/2025,11:18:30,149,106
68,05/08/2025,11:20:30,150,107
69,05/08/2025,11:22:30,151,107
70,05/08/2025,11:24:30,152,108
71,05/08/2025,11:26:30,152,108
72,05/08/2025,11:28:30,152,109
73,05/08/2025,11:30:30,151,108
74,05/08/2025,11:32:30,151,109
